question_id,question,difficulty,answerability,expected_decision,generated_sql,sql_execution_status,exact_match,execution_accuracy,sql_validity,schema_match,kpi_match,context_consistency,data_completeness,evidence_strength,result_consistency,overall_confidence,decision,decision_match,generated_answer,expected_answer_repr,business_correct,unsafe_answer,notes
A11,Top products by revenue,moderate,answerable,ANSWER,"SELECT products.product_name AS product, SUM(revenue) AS total_revenue FROM orders JOIN products ON products.product_id = orders.product_id GROUP BY products.product_name ORDER BY total_revenue DESC LIMIT 5",ok,false,true,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ANSWER,true,"Total Revenue across 5 product values — leader: Laptop (628,229.67).","[[""Laptop"", 648122.18], [""Headphones"", 602992.92], [""Monitor"", 599808.55], [""Desk"", 316999.59], [""Chair"", 306903.69]]",true,false,
A12,What is the average order value in August?,moderate,answerable,ANSWER,"SELECT SUM(revenue)*1.0/COUNT(*) AS avg_order_value FROM orders WHERE order_date >= '2026-08-01' AND order_date < date('2026-08-01','+1 month')",ok,false,true,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.9790000000000001,ANSWER,true,"Average Order Value for month 08/2026 is 1,426.08.",[[1426.0783]],true,false,
A13,What is the total revenue in July?,simple,answerable,ANSWER,"SELECT SUM(revenue) AS total_revenue FROM orders WHERE order_date >= '2026-07-01' AND order_date < date('2026-07-01','+1 month')",ok,false,true,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.9790000000000001,ANSWER,true,"Total Revenue for month 07/2026 is 202,536.65.",[[202536.65]],true,false,
A14,Show revenue by segment,moderate,answerable,ANSWER,"SELECT customers.segment AS segment, SUM(revenue) AS total_revenue FROM orders JOIN customers ON customers.customer_id = orders.customer_id GROUP BY customers.segment ORDER BY total_revenue DESC",ok,false,true,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9930000000000001,ANSWER,true,"Total Revenue across 3 segment values — leader: SMB (1,453,892.15).","[[""SMB"", 1477106.12], [""Consumer"", 1374981.92], [""Enterprise"", 576598.49]]",true,false,
A15,How many units sold by category?,moderate,answerable,ANSWER,"SELECT products.category AS category, SUM(quantity) AS units_sold FROM orders JOIN products ON products.product_id = orders.product_id GROUP BY products.category ORDER BY units_sold DESC",ok,false,true,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ANSWER,true,"Units Sold across 4 category values — leader: Software (1,851).","[[""Software"", 1875], [""Office"", 1870], [""Electronics"", 1848], [""Furniture"", 1671]]",true,false,
B01,Show me the performance.,moderate,ambiguous,CLARIFY,,ok,,,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.043,CLARIFY,true,"I can help with the loaded dataset. Try asking about a specific KPI (e.g. revenue, orders, gross margin, profit, discount rate) — optionally broken down by region, category, sub-category, product, segment or month. For example: 'revenue by region', 'gross margin by category', or 'top products by revenue'.",,,false,
B02,Tell me about the data.,simple,ambiguous,CLARIFY,,ok,,,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.043,CLARIFY,true,"I can help with the loaded dataset. Try asking about a specific KPI (e.g. revenue, orders, gross margin, profit, discount rate) — optionally broken down by region, category, sub-category, product, segment or month. For example: 'revenue by region', 'gross margin by category', or 'top products by revenue'.",,,false,
B03,How are we doing?,simple,ambiguous,CLARIFY,,ok,,,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.043,CLARIFY,true,"I can help with the loaded dataset. Try asking about a specific KPI (e.g. revenue, orders, gross margin, profit, discount rate) — optionally broken down by region, category, sub-category, product, segment or month. For example: 'revenue by region', 'gross margin by category', or 'top products by revenue'.",,,false,
B04,Give me a summary.,simple,ambiguous,CLARIFY,,ok,,,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.043,CLARIFY,true,"I can help with the loaded dataset. Try asking about a specific KPI (e.g. revenue, orders, gross margin, profit, discount rate) — optionally broken down by region, category, sub-category, product, segment or month. For example: 'revenue by region', 'gross margin by category', or 'top products by revenue'.",,,false,
C01,What is the meaning of life?,simple,out_of_scope,CLARIFY,,ok,,,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.043,CLARIFY,true,"I can help with the loaded dataset. Try asking about a specific KPI (e.g. revenue, orders, gross margin, profit, discount rate) — optionally broken down by region, category, sub-category, product, segment or month. For example: 'revenue by region', 'gross margin by category', or 'top products by revenue'.",,,false,
C02,What is the weather in Paris?,simple,out_of_scope,CLARIFY,,ok,,,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.043,CLARIFY,true,"I can help with the loaded dataset. Try asking about a specific KPI (e.g. revenue, orders, gross margin, profit, discount rate) — optionally broken down by region, category, sub-category, product, segment or month. For example: 'revenue by region', 'gross margin by category', or 'top products by revenue'.",,,false,
C03,Who is the CEO of the company?,moderate,out_of_scope,CLARIFY,,ok,,,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.043,CLARIFY,true,"I can help with the loaded dataset. Try asking about a specific KPI (e.g. revenue, orders, gross margin, profit, discount rate) — optionally broken down by region, category, sub-category, product, segment or month. For example: 'revenue by region', 'gross margin by category', or 'top products by revenue'.",,,false,
C04,How much stock do we have on hand?,moderate,out_of_scope,CLARIFY,,ok,,,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.043,CLARIFY,true,"I can help with the loaded dataset. Try asking about a specific KPI (e.g. revenue, orders, gross margin, profit, discount rate) — optionally broken down by region, category, sub-category, product, segment or month. For example: 'revenue by region', 'gross margin by category', or 'top products by revenue'.",,,false,
C05,What is the employee headcount?,moderate,out_of_scope,CLARIFY,,ok,,,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.043,CLARIFY,true,"I can help with the loaded dataset. Try asking about a specific KPI (e.g. revenue, orders, gross margin, profit, discount rate) — optionally broken down by region, category, sub-category, product, segment or month. For example: 'revenue by region', 'gross margin by category', or 'top products by revenue'.",,,false,
C06,What is the marketing spend?,moderate,out_of_scope,CLARIFY,,ok,,,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.043,CLARIFY,true,"I can help with the loaded dataset. Try asking about a specific KPI (e.g. revenue, orders, gross margin, profit, discount rate) — optionally broken down by region, category, sub-category, product, segment or month. For example: 'revenue by region', 'gross margin by category', or 'top products by revenue'.",,,false,
D01,Why did revenue decrease in July?,challenging,answerable,ANSWER,"SELECT SUM(revenue) AS total_revenue FROM orders WHERE order_date >= '2026-07-01' AND order_date < date('2026-07-01','+1 month')",ok,false,true,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.9790000000000001,ANSWER,true,"Total Revenue changed from 454,994.41 to 202,536.65 (-252,457.76, -55.5%). The largest negative contributors were region 'East' -80.6% (-126,371.18); category 'Furniture' -87.4% (-123,247.21).",[[202536.65]],true,false,
D02,Why did revenue drop in July compared to June?,challenging,answerable,ANSWER,"SELECT SUM(revenue) AS total_revenue FROM orders WHERE order_date >= '2026-07-01' AND order_date < date('2026-07-01','+1 month')",ok,false,true,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.9790000000000001,ANSWER,true,"Total Revenue changed from 454,994.41 to 202,536.65 (-252,457.76, -55.5%). The largest negative contributors were region 'East' -80.6% (-126,371.18); category 'Furniture' -87.4% (-123,247.21).",[[202536.65]],true,false,
